股票名称,股票代码,当前价格,成交量
N风光,SH688439,100.18,30397586
N金禄,SZ301282,39.8,22627173
达志科技,SZ300530,31.01,5215871
德固特,SZ300950,22.61,18857035
*ST美尚,SZ300495,2.77,25480275
安科瑞,SZ300286,32.51,6815421
金宏气体,SH688106,22.48,15549222
明月镜片,SZ301101,67,2441232
瑞丰新材,SZ300910,94.7,3559481
联盛化学,SZ301212,35.99,8509795
海能实业,SZ300787,44.63,9950911
鸿达兴业,SZ002002,3.92,275609458
惠博普,SZ002554,4.37,136598749
国创高新,SZ002377,3.17,59128800
远大智能,SZ002689,6.56,250486448
凯恩股份,SZ002012,6.24,45965622
通达股份,SZ002560,7.34,35810910
文投控股,SH600715,3.07,258629025
天润乳业,SH600419,13.04,19578916
博纳影业,SZ001330,12.83,1254425
京运通,SH601908,9.65,183502546
大庆华科,SZ000985,21.07,14341009
成都燃气,SH603053,11.63,36912887
三维化学,SZ002469,9.65,181948166
亿利达,SZ002686,6.8,28496200
传智教育,SZ003032,15.58,17308247
贵广网络,SH600996,10.65,61318940
新经典,SH603096,21.85,9930842
雄韬股份,SZ002733,19.88,24814574
西部创业,SZ000557,6.26,54415707
咸亨国际,SH605056,18.25,18683277
深南电A,SZ000037,8.9,24656203
长久物流,SH603569,10.89,31129620
良品铺子,SH603719,26.29,4021404
康惠制药,SH603139,24.31,3187209
新华文轩,SH601811,10.45,17424509
德龙汇能,SZ000593,11.33,40255226
源飞宠物,SZ001222,34.97,3402289
创元科技,SZ000551,11.22,10163439
智光电气,SZ002169,12.66,233102777
三变科技,SZ002112,10.68,9599100
万和电气,SZ002543,10.68,5393045
北汽蓝谷,SH600733,8.04,158037242
深圳华强,SZ000062,13.43,11724005
弘业期货,SZ001236,11.23,6193892
动力源,SH600405,8.82,53621137
动力新科,SH600841,7.84,18409404
国机重装,SH601399,3.87,314358501
黑芝麻,SZ000716,4.54,222787724
航锦科技,SZ000818,34.18,29800879
三维通信,SZ002115,4.85,68511304
中路B股,SH900915,0.801,2716794
新开源,SZ300109,25.75,21971374
亿华通-U,SH688339,107.25,4785785
凯立新材,SH688269,140,1919192
航天机电,SH600151,11.39,38909450
雷赛智能,SZ002979,21.45,11064740
皓元医药,SH688131,153,1208750
中路股份,SH600818,28.38,13560590
东方网络,SZ002175,4.04,196635326
艾力斯-U,SH688578,20.58,8837896
金三江,SZ301059,28.8,4981877
长江传媒,SH600757,5.95,89131588
百利电气,SH600468,5.14,85968377
致远新能,SZ300985,30.37,7085860
全柴动力,SH600218,10.91,42889242
厦门钨业,SH600549,28.39,41217576
同庆楼,SH605108,21.81,8016908
城发环境,SZ000885,12.68,47180781
青岛啤酒,SH600600,108,14481965
金圆股份,SZ000546,18.29,58821847
先达股份,SH603086,14.83,22254923
仙乐健康,SZ300791,31.25,3583360
世运电路,SH603920,18.14,31318157
兴业科技,SZ002674,13.82,11271757
金晶科技,SH600586,11.1,145807589
山东章鼓,SZ002598,12.1,40307703
锐新科技,SZ300828,19.28,20115639
中矿资源,SZ002738,97.8,38694159
宁波精达,SH603088,10.31,34826718
龙源技术,SZ300105,7.31,34938400
祥鑫科技,SZ002965,66.9,13107866
大北农,SZ002385,8.78,285242847
同益中,SH688722,16.5,2114230
恒生电子,SH600570,32.44,32244549
瑞普生物,SZ300119,19.61,12445793
康冠科技,SZ001308,39.88,13240628
龙版传媒,SH605577,11.31,8738893
创力集团,SH603012,6.82,62848673
岭南控股,SZ000524,9.61,13766771
贵航股份,SH600523,24.13,8147587
千味央厨,SZ001215,51.69,3894719
恒光股份,SZ301118,44.34,4411188
英力特,SZ000635,10.32,29582283
山东海化,SZ000822,9.98,91844135
诺唯赞,SH688105,69.4,1499338
石化机械,SZ000852,8.69,108515374
鲁阳节能,SZ002088,27.07,5953988
丽江股份,SZ002033,8.4,42091882
光启技术,SZ002625,17.54,45654083
英科再生,SH688087,56.15,1248583
华阳国际,SZ002949,14.33,13881532
皖仪科技,SH688600,17.45,2688002
华电重工,SH601226,6.3,52291082
联络互动,SZ002280,3.61,161384924
福莱特,SH601865,41.88,23408824
厚普股份,SZ300471,17.21,28320746
圣济堂,SH600227,3.46,52588152
健麾信息,SH605186,33.58,881700
皇氏集团,SZ002329,10.6,207897009
西域旅游,SZ300859,28.24,9699100
聚辰股份,SH688123,91.48,3754585
吉宏股份,SZ002803,12.33,17891706
福田汽车,SH600166,2.76,175956182
融捷股份,SZ002192,127.74,13010512
明志科技,SH688355,31.32,6353447
宏华数科,SH688789,207.2,558624
蓝丰生化,SZ002513,5.57,32887679
东宝生物,SZ300239,8.66,30241206
仙琚制药,SZ002332,9.26,33332542
